epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.216,0.24757,1.88015,0.99851,0.85091,0.77266,0.85309,0.84491,0.2257,0.58084,0.60615,0.000158349,0.000158349,0.000158349
2,299.296,0.16314,0.8839,0.9262,0.92553,0.86202,0.96186,0.95784,0.19389,0.45849,0.55525,0.000310739,0.000310739,0.000310739
3,445.611,0.16024,0.80831,0.92504,0.94021,0.92126,0.9764,0.97279,0.20822,0.3835,0.57377,0.000456846,0.000456846,0.000456846
4,593.323,0.15573,0.73864,0.92128,0.95524,0.94669,0.98279,0.97462,0.19149,0.33328,0.56707,0.000447726,0.000447726,0.000447726
5,742.704,0.14539,0.68177,0.91445,0.94187,0.85607,0.9704,0.96884,0.17112,0.40312,0.53781,0.000438301,0.000438301,0.000438301
6,902.956,0.13678,0.64,0.91351,0.88808,0.92824,0.9753,0.97037,0.1852,0.32935,0.54317,0.000428876,0.000428876,0.000428876
7,1060.67,0.13285,0.6067,0.91332,0.96574,0.94704,0.98326,0.98181,0.16497,0.29275,0.53766,0.000419451,0.000419451,0.000419451
8,1217.94,0.13084,0.57783,0.91182,0.94846,0.95428,0.98311,0.98185,0.18306,0.30153,0.54266,0.000410026,0.000410026,0.000410026
9,1376.81,0.12673,0.56222,0.90891,0.97819,0.98041,0.99085,0.98989,0.14683,0.1876,0.50087,0.000400602,0.000400602,0.000400602
10,1537.55,0.12514,0.54016,0.90873,0.9792,0.97849,0.98942,0.98713,0.16075,0.22829,0.51053,0.000391177,0.000391177,0.000391177
11,1702.62,0.12281,0.522,0.90621,0.98847,0.98546,0.99367,0.99229,0.19025,0.22809,0.55784,0.000381752,0.000381752,0.000381752
12,1867.55,0.12128,0.50772,0.90621,0.97622,0.9792,0.99047,0.98914,0.18133,0.2542,0.54215,0.000372327,0.000372327,0.000372327
13,2028.87,0.11829,0.4923,0.90722,0.98823,0.98716,0.99377,0.99325,0.17658,0.21862,0.54385,0.000362902,0.000362902,0.000362902
14,2193.19,0.11657,0.48094,0.90461,0.98872,0.98633,0.99355,0.993,0.18067,0.21653,0.54217,0.000353478,0.000353478,0.000353478
15,2353.38,0.11565,0.46619,0.90545,0.98312,0.9897,0.99368,0.99326,0.1321,0.16654,0.47798,0.000344053,0.000344053,0.000344053
16,2498.52,0.11374,0.46225,0.90224,0.98557,0.986,0.99428,0.99404,0.15418,0.20611,0.51375,0.000334628,0.000334628,0.000334628
17,2641.96,0.1153,0.45444,0.9043,0.99178,0.99309,0.99439,0.99391,0.16763,0.21226,0.52827,0.000325203,0.000325203,0.000325203
18,2785.83,0.1133,0.44438,0.90365,0.99248,0.99223,0.99458,0.99415,0.14695,0.16455,0.49439,0.000315778,0.000315778,0.000315778
19,2928.93,0.11014,0.43107,0.90431,0.99251,0.9898,0.99465,0.99356,0.15369,0.22923,0.51012,0.000306354,0.000306354,0.000306354
20,3072.5,0.10894,0.41804,0.90412,0.99484,0.99517,0.99463,0.99401,0.17188,0.19804,0.52836,0.000296929,0.000296929,0.000296929
21,3215.57,0.10929,0.41597,0.90223,0.99267,0.99512,0.99469,0.99451,0.15025,0.19838,0.50309,0.000287504,0.000287504,0.000287504
22,3358.9,0.1069,0.40126,0.90122,0.99788,0.99594,0.99477,0.99457,0.15792,0.19408,0.51232,0.000278079,0.000278079,0.000278079
23,3502.45,0.10662,0.39771,0.90225,0.99157,0.99419,0.99451,0.99398,0.169,0.19507,0.5297,0.000268654,0.000268654,0.000268654
24,3645.38,0.10589,0.38893,0.90072,0.9963,0.99559,0.9947,0.99405,0.16897,0.1799,0.51825,0.00025923,0.00025923,0.00025923
25,3788.53,0.10187,0.38134,0.90027,0.99615,0.99493,0.99485,0.99312,0.16504,0.19309,0.52154,0.000249805,0.000249805,0.000249805
26,3931.69,0.1029,0.373,0.89833,0.99725,0.99519,0.9948,0.99427,0.15738,0.18059,0.51939,0.00024038,0.00024038,0.00024038
27,4074.43,0.10129,0.36177,0.90016,0.9952,0.99513,0.99479,0.99441,0.15439,0.19806,0.51068,0.000230955,0.000230955,0.000230955
28,4217.75,0.09988,0.35555,0.90164,0.99677,0.99834,0.99473,0.99459,0.16296,0.18016,0.51817,0.00022153,0.00022153,0.00022153
29,4360.36,0.09932,0.34763,0.90146,0.99779,0.99679,0.99483,0.99477,0.14183,0.17097,0.49563,0.000212106,0.000212106,0.000212106
30,4504.03,0.09948,0.34916,0.90122,0.99712,0.99751,0.99493,0.9948,0.14627,0.17933,0.49413,0.000202681,0.000202681,0.000202681
31,4647.69,0.0989,0.33886,0.89795,0.99746,0.99871,0.99492,0.99472,0.16162,0.17839,0.5144,0.000193256,0.000193256,0.000193256
32,4791.09,0.09978,0.32975,0.89857,0.99825,0.9981,0.99488,0.99486,0.15486,0.17003,0.51136,0.000183831,0.000183831,0.000183831
33,4936.16,0.09711,0.32706,0.90015,0.99692,0.99683,0.99493,0.99484,0.14725,0.16766,0.50393,0.000174406,0.000174406,0.000174406
34,5078.75,0.09649,0.32318,0.90091,0.99821,0.99852,0.99493,0.99472,0.15244,0.17048,0.51098,0.000164982,0.000164982,0.000164982
35,5221.59,0.09632,0.31419,0.89772,0.99773,0.99783,0.99495,0.99484,0.14239,0.16332,0.4979,0.000155557,0.000155557,0.000155557
36,5363.86,0.09461,0.31237,0.89895,0.99839,0.99887,0.99496,0.99481,0.15418,0.17,0.51148,0.000146132,0.000146132,0.000146132
37,5506.35,0.09385,0.29536,0.89886,0.99839,0.99888,0.99495,0.99484,0.15501,0.17171,0.50915,0.000136707,0.000136707,0.000136707
38,5649.03,0.09195,0.29523,0.89662,0.99881,0.99931,0.99483,0.99476,0.13324,0.16282,0.47932,0.000127282,0.000127282,0.000127282
39,5791.89,0.09248,0.28757,0.89666,0.99868,0.99888,0.99499,0.99487,0.11857,0.13079,0.46686,0.000117858,0.000117858,0.000117858
40,5934.77,0.09084,0.28505,0.89786,0.99857,0.99934,0.99493,0.99488,0.12835,0.15258,0.4794,0.000108433,0.000108433,0.000108433
41,6097.09,0.06712,0.0878,0.89789,0.99839,0.99835,0.99487,0.99473,0.15384,0.16485,0.51518,9.9008e-05,9.9008e-05,9.9008e-05
42,6239.99,0.06164,0.07384,0.89845,0.99869,0.99903,0.99489,0.99484,0.14108,0.15525,0.49568,8.95832e-05,8.95832e-05,8.95832e-05
43,6382.3,0.06046,0.07392,0.8961,0.99831,0.99856,0.99489,0.99483,0.13709,0.1564,0.49374,8.01584e-05,8.01584e-05,8.01584e-05
44,6524.19,0.05989,0.06497,0.89118,0.99828,0.99906,0.99488,0.9948,0.13503,0.15386,0.48952,7.07336e-05,7.07336e-05,7.07336e-05
45,6666.28,0.05654,0.06047,0.89377,0.99891,0.9995,0.99484,0.99466,0.13756,0.1509,0.49258,6.13088e-05,6.13088e-05,6.13088e-05
46,6808.5,0.05509,0.05508,0.89372,0.99894,0.99984,0.99492,0.99486,0.13965,0.15353,0.49578,5.1884e-05,5.1884e-05,5.1884e-05
47,6950.91,0.05528,0.05418,0.89046,0.99886,0.99986,0.99492,0.99484,0.14398,0.15862,0.50395,4.24592e-05,4.24592e-05,4.24592e-05
48,7094.11,0.05279,0.05026,0.89334,0.99889,0.99989,0.99493,0.99483,0.13812,0.15018,0.49626,3.30344e-05,3.30344e-05,3.30344e-05
49,7236.62,0.05019,0.04781,0.89092,0.99894,0.9999,0.99495,0.99486,0.13422,0.14735,0.49191,2.36096e-05,2.36096e-05,2.36096e-05
50,7379.4,0.04995,0.04524,0.8903,0.99893,0.99991,0.99495,0.99486,0.13326,0.14527,0.49037,1.41848e-05,1.41848e-05,1.41848e-05
