epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6339,1.20948,1.49216,1.16207,0.65077,0.53112,0.58594,0.35436,1.30463,1.15788,1.20423,0.000277171,0.000277171,0.000277171
2,148.806,1.13954,1.02304,1.1296,0.67765,0.53187,0.60331,0.35569,1.33554,1.16497,1.2254,0.000543852,0.000543852,0.000543852
3,221.625,1.12068,0.96613,1.11674,0.72365,0.54874,0.63481,0.37359,1.31223,1.0852,1.20704,0.000799537,0.000799537,0.000799537
4,293.661,1.09481,0.90758,1.10237,0.74632,0.55499,0.64203,0.38212,1.31838,1.043,1.21003,0.00078352,0.00078352,0.00078352
5,368.035,1.06023,0.85544,1.08868,0.72331,0.60921,0.66905,0.40055,1.26875,1.00534,1.19616,0.000767026,0.000767026,0.000767026
6,441.77,1.03007,0.82111,1.07406,0.78658,0.6043,0.69,0.41907,1.27565,0.97126,1.18951,0.000750533,0.000750533,0.000750533
7,514.575,1.01127,0.78361,1.05854,0.73454,0.60175,0.67114,0.4119,1.25367,0.97597,1.17931,0.00073404,0.00073404,0.00073404
8,586.568,0.98478,0.74843,1.04846,0.7536,0.60522,0.68938,0.42562,1.25382,0.93884,1.18775,0.000717546,0.000717546,0.000717546
9,678.821,0.96018,0.7277,1.03542,0.75098,0.62886,0.69841,0.43098,1.2387,0.94513,1.16768,0.000701053,0.000701053,0.000701053
10,745.777,0.94088,0.70146,1.02551,0.77168,0.63349,0.7096,0.43385,1.24955,0.895,1.1777,0.000684559,0.000684559,0.000684559
11,814.153,0.92539,0.6809,1.01596,0.77291,0.64218,0.71631,0.43684,1.24334,0.89231,1.17853,0.000668066,0.000668066,0.000668066
12,883.107,0.90717,0.65495,1.00631,0.7976,0.63828,0.72397,0.44526,1.23756,0.88818,1.17977,0.000651573,0.000651573,0.000651573
